,Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population2021_estimated
426,427,saraikela kharsawan,jharkhand,1065056,1.2547,956,67.7,10298439.53
427,428,gadag,karnataka,1064570,1.0954,982,75.12,2647900.059
428,429,karur,tamil nadu,1064493,1.1377,1015,75.6,3867411.558
429,430,rohtak,haryana,1061204,1.1288,867,80.22,3564255.97
430,431,chandigarh,chandigarh,1055450,1.1719,818,86.05,5156359.716
431,432,mandla,madhya pradesh,1054905,1.1797,1008,66.87,5507178.396
432,433,chatra,jharkhand,1042886,1.3177,953,60.18,16458956.48
433,434,palwal,haryana,1042708,1.2576,880,69.32,10317821.08
434,435,lakhimpur,assam,1042137,1.1722,968,77.2,5104368.099
435,436,sambalpur,odisha,1041099,1.1127,976,76.22,3028816.132
436,437,sirohi,rajasthan,1036346,1.2176,940,55.25,7422516.467
437,438,mahasamund,chhattisgarh,1032754,1.2005,1017,71.02,6421234.489
438,439,gumla,jharkhand,1025213,1.2316,993,65.73,8232105.107
439,440,jhabua,madhya pradesh,1025048,1.307,990,43.3,14910770.25
440,441,chamarajanagar,karnataka,1020791,1.0573,993,61.43,1782047.002
441,442,panna,madhya pradesh,1016520,1.1867,905,64.79,5630219.822
442,443,goalpara,assam,1008183,1.2264,964,67.37,7759983.334
443,444,baramula,jammu & kashmir,1008039,1.1945,885,64.63,5961271.142
444,445,lakhisarai,bihar,1000912,1.2477,902,62.42,9151613.008
445,446,mandi,himachal pradesh,999777,1.1092,1007,81.53,2818394.292
446,447,moga,punjab,995746,1.1128,893,70.68,2899477.482
447,448,mohali,punjab,994628,1.3315,879,83.8,17420972.24
448,449,chitrakoot,uttar pradesh,991730,1.2943,879,65.05,13084073.12
449,450,bangalore rural,karnataka,990923,1.1645,946,77.93,4543963.535
450,451,rayagada,odisha,967911,1.1646,1051,49.76,4442252.938
451,452,kurukshetra,haryana,964655,1.1686,888,76.31,4581744.207
452,453,nayagarh,odisha,962789,1.1137,915,80.42,2826267.838
453,454,jhajjar,haryana,958405,1.089,862,80.65,2248163.375
454,455,morigaon,assam,957423,1.2334,967,68.03,7800874.61
455,456,karbi anglong,assam,956313,1.1758,951,69.25,4829860.843
456,457,nainital,uttarakhand,954605,1.2513,934,83.88,8983346.481
457,458,puducherry,puducherry,950289,1.2923,1029,85.44,12344944.6
458,459,baksa,assam,950075,1.1074,974,69.25,2635136.291
459,460,ramgarh,jharkhand,949443,1.131,921,73.17,3251583.763
460,461,fatehabad,haryana,942011,1.1685,902,67.92,4470366.618
461,462,darrang,assam,928500,1.2219,954,63.08,6888720.372
462,463,mahendragarh,haryana,922088,1.1348,895,77.72,3265619.957
463,464,muktsar,punjab,901896,1.16,896,65.81,3978655.652
464,465,pakur,jharkhand,900422,1.2833,989,48.82,10907570.79
465,466,rewari,haryana,900332,1.1764,898,80.99,4570385.62
466,467,north delhi,delhi,887978,1.1362,869,86.85,3183831.355
467,468,kokrajhar,assam,887142,1.0521,959,65.22,1474223.557
468,469,south tripura,tripura,876001,1.1415,957,84.66,3290514.131
469,470,mahoba,uttar pradesh,875958,1.2364,878,65.27,7312624.063
470,471,kupwara,jammu & kashmir,870354,1.3382,835,64.51,16028991.0
471,472,pratapgarh,rajasthan,867848,1.2278,983,55.97,6756471.628
472,473,jashpur,chhattisgarh,851669,1.146,1005,67.92,3327491.969
473,474,sindhudurg,maharashtra,849651,0.9779,1036,85.56,679493.0737
474,475,ashoknagar,madhya pradesh,845071,1.2266,904,66.42,6515125.741
475,476,udalguri,assam,831668,1.0961,973,65.41,2081861.189
476,477,neemuch,madhya pradesh,826067,1.1377,954,70.8,3001185.6
477,478,east khasi hills,meghalaya,825922,1.2496,1011,84.15,7667419.056
478,479,kabirdham,chhattisgarh,822526,1.4071,996,60.85,25026450.92
479,480,north goa,goa,818008,1.0784,963,89.57,1740028.425
480,481,wayanad,kerala,817420,1.0471,1035,89.03,1295170.236
481,482,kapurthala,punjab,815168,1.0804,912,79.07,1766415.545
482,483,shimla,himachal pradesh,814010,1.1267,915,83.64,2683568.487
483,484,tapi,gujarat,807022,1.1214,1007,68.26,2537995.757
484,485,dhamtari,chhattisgarh,799781,1.1319,1010,78.36,2760906.389
485,486,jamtara,jharkhand,791042,1.2112,954,64.59,5374748.712
486,487,datia,madhya pradesh,786754,1.1846,873,72.63,4281108.579
487,488,nalbari,assam,771639,1.1199,949,78.63,2394454.649
488,489,mansa,punjab,769751,1.1176,883,61.83,2339991.031
489,490,burhanpur,madhya pradesh,757847,1.1937,951,64.36,4451777.749
490,491,ariyalur,tamil nadu,754894,1.0854,1015,71.34,1713105.644
491,492,badgam,jammu & kashmir,753745,1.2414,894,56.08,6551516.735
492,493,anuppur,madhya pradesh,749237,1.123,976,67.88,2390103.891
493,494,kanker,chhattisgarh,748941,1.1506,1006,70.29,3045729.313
494,495,bongaigaon,assam,738804,1.2059,966,69.74,4804433.535
495,496,the nilgiris,tamil nadu,735394,0.9649,1042,85.2,514449.97
496,497,kandhamal,odisha,733110,1.131,1037,64.13,2510702.14
497,498,alirajpur,madhya pradesh,728999,1.1945,1011,36.1,4311103.738
498,499,latehar,jharkhand,726978,1.2961,967,59.51,9725375.409
499,500,kodarma,jharkhand,716259,1.4342,950,66.84,26373469.96
500,501,dindori,madhya pradesh,704524,1.2132,1002,63.9,4866534.523
501,502,arwal,bihar,700843,1.1889,928,67.43,3954340.024
502,503,north tripura,tripura,693947,1.1744,967,87.5,3463273.01
503,504,sheopur,madhya pradesh,687861,1.2294,901,57.43,5425412.637
504,505,pauri garhwal,uttarakhand,687271,0.9859,1103,82.02,596288.8451
505,506,dhemaji,assam,686133,1.1997,953,72.7,4237745.741
506,507,rupnagar,punjab,684627,1.0887,915,82.19,1601534.328
507,508,jaisalmer,rajasthan,669919,1.3181,852,57.22,10604883.34
508,509,hailakandi,assam,659296,1.2145,951,74.33,4603155.353
509,510,korea,chhattisgarh,658917,1.1238,968,70.64,2117000.644
510,511,sheohar,bihar,656246,1.2719,893,53.78,7271036.797
511,512,umaria,madhya pradesh,644758,1.2496,950,65.89,5985589.166
512,513,west garo hills,meghalaya,643291,1.2409,984,67.58,5568975.677
513,514,rajouri,jammu & kashmir,642415,1.3293,860,68.17,11067402.9
514,515,south goa,goa,640537,1.0873,986,87.59,1479238.16
515,516,sheikhpura,bihar,636342,1.2109,930,63.86,4312939.643
516,517,almora,uttarakhand,622506,0.9872,1139,80.47,547261.6413
517,518,tehri garhwal,uttarakhand,618931,1.0235,1077,76.36,780765.6631
518,519,faridkot,punjab,617508,1.1209,890,69.55,1933353.549
519,520,kathua,jammu & kashmir,616435,1.2053,890,73.09,3988768.714
520,521,malkangiri,odisha,613192,1.2162,1020,48.54,4341566.634
521,522,shahid bhagat singh nagar,punjab,612310,1.0423,954,79.78,926613.7276
522,523,nuapada,odisha,610382,1.1502,1021,57.35,2473633.481
523,524,subarnapur,odisha,610183,1.1261,960,74.42,2000919.831
524,525,fatehgarh sahib,punjab,600163,1.1146,871,79.35,1776068.063
525,526,simdega,jharkhand,599578,1.1658,997,67.99,2780265.041
526,527,barnala,punjab,595527,1.1302,876,67.82,2025137.361
527,528,narmada,gujarat,590297,1.1475,961,72.31,2336670.728
528,529,porbandar,gujarat,585449,1.0906,950,75.78,1393618.818
529,530,central delhi,delhi,582320,0.9009,892,85.14,205082.0148
530,531,solan,himachal pradesh,580320,1.1593,880,83.68,2544637.347
531,532,jharsuguda,odisha,579505,1.1369,953,78.86,2090642.873
532,533,gajapati,odisha,577817,1.1137,1043,53.49,1696182.241
533,534,harda,madhya pradesh,570465,1.2025,935,72.5,3606449.494
534,535,perambalur,tamil nadu,565223,1.145,1003,74.32,2189145.827
535,536,panchkula,haryana,561293,1.1983,873,81.88,3426456.473
536,537,pulwama,jammu & kashmir,560440,1.27,912,63.48,6117392.326
537,538,udhampur,jammu & kashmir,554985,1.2078,870,68.49,3666329.54
538,539,kodagu,karnataka,554519,1.0109,1019,82.61,618014.1188
539,540,dantewada,chhattisgarh,533638,1.1208,1020,42.12,1669275.313
540,541,khunti,jharkhand,531885,1.2232,997,63.86,3988342.687
541,542,sirmaur,himachal pradesh,529855,1.1554,918,78.8,2246366.785
542,543,una,himachal pradesh,521173,1.1626,976,86.53,2351175.755
543,544,chamba,himachal pradesh,519080,1.1263,986,72.17,1705199.266
544,545,imphal west,manipur,517992,1.1656,1031,86.08,2397830.279
545,546,pithoragarh,uttarakhand,483439,1.0458,1020,82.25,756533.3155
546,547,chirang,assam,482162,1.1134,969,63.55,1411578.873
547,548,senapati,manipur,479148,1.6894,937,63.6,90739123.15
548,549,punch,jammu & kashmir,476835,1.2797,893,66.74,5616293.882
549,550,lohardaga,jharkhand,461790,1.2668,985,67.61,4915017.53
550,551,imphal east,manipur,456113,1.1551,1017,81.95,1928716.026
551,552,hamirpur,himachal pradesh,454768,1.1019,1095,88.15,1200084.229
552,553,baudh,orissa,441162,1.1816,991,71.61,2340469.144
553,554,kullu,himachal pradesh,437903,1.1476,942,79.4,1734935.431
554,555,kulgam,jammu & kashmir,424483,1.0773,951,59.23,893772.3199
555,556,thoubal,manipur,422168,1.1594,1002,74.47,1852756.184
556,557,doda,jammu & kashmir,409936,1.28,919,64.68,4839670.066
557,558,aizawl,mizoram,400309,1.2292,1009,97.89,3152251.573
558,559,jaintia hills,meghalaya,395124,1.321,1013,61.64,6393837.374
559,560,bandipora,jammu & kashmir,392232,1.2865,889,56.28,4871255.71
560,561,chamoli,uttarakhand,391605,1.0574,1019,82.65,684291.7261
561,562,west khasi hills,meghalaya,383461,1.2953,980,77.87,5098293.762
562,563,bilaspur,himachal pradesh,381956,1.1205,981,84.59,1191603.981
563,564,dimapur,nagaland,378811,2.2729,919,84.79,1393881545.0
564,565,dhalai,tripura,378230,1.2285,944,85.72,2961471.659
565,566,dadra and nagar haveli,dadra & nagar haveli and daman & diu,343709,1.5588,774,76.24,29113530.59
566,567,uttarkashi,uttarakhand,330086,1.1189,958,75.81,1015172.497
567,568,samba,jammu & kashmir,318898,1.1701,886,81.41,1534198.624
568,569,east garo hills,meghalaya,317917,1.2687,972,73.95,3434813.414
569,570,reasi,jammu & kashmir,314667,1.2704,890,58.15,3445530.118
570,571,debagarh,odisha,312520,1.1401,975,72.57,1159597.505
571,572,ganderbal,jammu & kashmir,297446,1.365,874,58.04,6679356.852
572,573,ramban,jammu & kashmir,283713,1.3199,902,54.27,4552914.814
573,574,east sikkim,sikkim,283583,1.1573,873,83.85,1222192.808
574,575,churachandpur,manipur,274143,1.2029,975,82.78,1738891.201
575,576,kohima,nagaland,267988,2.3181,928,85.23,1200706930.0
576,577,shupiyan,jammu & kashmir,266215,1.2597,951,60.76,2678575.03
577,578,bageshwar,uttarakhand,259898,1.0418,1090,80.01,391423.1147
578,579,champawat,uttarakhand,259648,1.1563,980,79.83,1109405.305
579,580,ri bhoi,meghalaya,258840,1.3426,953,75.67,4926038.702
580,581,bijapur,chhattisgarh,255230,1.0878,984,40.86,592137.0903
581,582,mon,nagaland,250260,1.8036,899,56.99,91157772.96
582,583,rudraprayag,uttarakhand,242285,1.0653,1114,81.3,456085.0091
583,584,south andaman,andaman & nicobar islands,238142,1.1423,871,89.13,900819.4706
584,585,bishnupur,manipur,237399,1.1393,999,75.85,874701.4753
585,586,kishtwar,jammu & kashmir,230696,1.2088,920,56.2,1536684.029
586,587,the dangs,gujarat,228291,1.2226,1006,75.16,1703463.0
587,588,dima hasao,assam,214102,1.1384,932,77.54,782653.614
588,589,karaikal,puducherry,200222,1.1723,1047,87.05,981520.659
589,590,tuensang,nagaland,196596,1.9483,929,73.08,154929094.5
590,591,mokokchung,nagaland,194622,1.6094,925,91.62,22689864.43
591,592,daman,dadra & nagar haveli and daman & diu,191173,1.6771,534,88.07,33652407.94
592,593,ukhrul,manipur,183998,1.307,943,81.35,2676510.665
593,594,papumpare,arunachal pradesh,176573,1.4473,980,79.95,7120490.591
594,595,wokha,nagaland,166343,1.9881,968,87.69,160467387.8
595,596,phek,nagaland,163418,2.1184,951,78.05,297426437.1
596,597,lunglei,mizoram,161428,1.1764,947,88.86,819462.3871
597,598,changlang,arunachal pradesh,148226,1.1818,926,59.8,787706.1667
598,599,south sikkim,sikkim,146850,1.1165,915,81.42,442039.6485
599,600,lohit,arunachal pradesh,145726,1.1659,912,68.18,676316.6312
600,601,chandel,manipur,144182,1.2185,933,71.11,1040318.641
601,602,south garo hills,meghalaya,142334,1.4095,945,71.72,4405137.375
602,603,new delhi,delhi,142004,0.7928,822,88.34,13929.54699
603,604,kargil,ladakh,140802,1.1802,810,71.34,738184.5083
604,605,zunheboto,nagaland,140757,1.7805,976,85.26,45070230.81
605,606,tamenglong,manipur,140651,1.2615,943,70.05,1435540.247
606,607,narayanpur,chhattisgarh,139820,1.1916,994,48.62,807001.3165
607,608,west sikkim,sikkim,136435,1.1069,942,77.39,376712.1865
608,609,leh,ladakh,133487,1.1387,690,77.2,489251.5152
609,610,champhai,mizoram,125745,1.1601,984,95.91,555194.2929
610,611,lawngtlai,mizoram,117894,1.6014,945,65.88,13076452.63
611,612,west siang,arunachal pradesh,112274,1.0804,930,66.46,243290.3878
612,613,tirap,arunachal pradesh,111975,1.1161,944,52.19,335855.2585
613,614,north and middle andaman,andaman & nicobar islands,105597,0.9998,925,83.91,105385.996
614,615,east siang,arunachal pradesh,99214,1.1352,980,72.54,352611.7531
615,616,peren,nagaland,95219,2.0415,915,77.95,119733991.0
616,617,kurung kumey,arunachal pradesh,92076,2.1656,1032,48.75,208895397.7
617,618,mamit,mizoram,86364,1.3756,927,84.93,2095339.597
618,619,kinnaur,himachal pradesh,84121,1.0739,819,80.0,171610.1024
619,620,kolasib,mizoram,83955,1.2728,956,93.5,936802.9126
620,621,west kameng,arunachal pradesh,83947,1.1253,819,67.07,273330.672
621,622,upper subansiri,arunachal pradesh,83448,1.5078,998,63.8,5068195.071
622,623,lower subansiri,arunachal pradesh,83030,1.49,984,74.35,4478140.57
623,624,east kameng,arunachal pradesh,78690,1.3762,1029,60.02,1917498.71
624,625,kiphire,nagaland,74004,1.3858,956,69.54,1933128.682
625,626,serchhip,mizoram,64937,1.2056,977,97.91,421235.1599
626,627,lakshadweep,lakshadweep,64473,1.063,946,91.85,118771.0304
627,628,saiha,mizoram,56574,0.9266,979,90.01,26396.10485
628,629,yanam,puducherry,55626,1.7719,1038,79.47,16969533.86
629,630,lower dibang valley,arunachal pradesh,54080,1.072,928,69.13,108388.832
630,631,diu,daman and diu,52074,1.1777,1031,83.46,267280.7549
631,632,longleng,nagaland,50484,0.7843,905,72.17,4446.066029
632,633,tawang,arunachal pradesh,49977,1.284,714,59.0,608723.9935
633,634,north sikkim,sikkim,43709,1.0653,767,78.01,82279.21523
634,635,mahe,puducherry,41816,1.1354,1184,97.87,148878.2948
635,636,nicobars,andaman & nicobar islands,36842,0.8758,777,78.06,9781.210531
636,637,upper siang,arunachal pradesh,35320,1.0587,889,59.99,62481.26672
637,638,lahul and spiti,himachal pradesh,31564,0.95,903,76.81,18898.53275
638,639,anjaw,arunachal pradesh,21167,1.1419,839,56.46,79788.45202
639,640,dibang valley,arunachal pradesh,8004,1.1007,813,64.1,20892.8047
