,Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population2021_estimated
219,220,chhindwara,madhya pradesh,2090922,1.1307,964,71.16,7141866.928
220,221,dakshina kannada,karnataka,2089649,1.1011,1020,88.57,5474456.003
221,222,bokaro,jharkhand,2062330,1.1601,922,72.01,9105680.91
222,223,dhule,maharashtra,2050862,1.2008,946,72.8,12783307.34
223,224,churu,rajasthan,2039547,1.0601,940,66.75,3655965.282
224,225,pali,rajasthan,2037573,1.1194,987,62.39,6294571.961
225,226,mahesana,gujarat,2035064,1.1073,926,83.61,5639376.249
226,227,banka,bihar,2034763,1.2648,907,58.17,21317310.01
227,228,gwalior,madhya pradesh,2032036,1.245,864,76.65,18181299.13
228,229,pilibhit,uttar pradesh,2031007,1.2345,895,61.47,16696381.63
229,230,firozpur,punjab,2029074,1.1621,893,68.92,9114501.019
230,231,madhepura,bihar,2001762,1.3112,911,52.25,30067813.39
231,232,jhansi,uttar pradesh,1998603,1.1454,890,75.05,7767805.144
232,233,ujjain,madhya pradesh,1986864,1.1612,955,72.34,8856016.407
233,234,kottayam,kerala,1974551,1.0107,1039,97.21,2196296.717
234,235,ganganagar,rajasthan,1969168,1.1004,887,69.64,5126117.855
235,236,morena,madhya pradesh,1965970,1.2344,840,71.03,16148642.38
236,237,jalna,maharashtra,1959046,1.2146,937,71.52,13689178.97
237,238,chandauli,uttar pradesh,1952756,1.1883,918,71.48,10962483.49
238,239,kota,rajasthan,1951014,1.2439,911,76.56,17302747.25
239,240,dhubri,assam,1949258,1.2444,953,58.34,17356787.63
240,241,davanagere,karnataka,1945497,1.0863,972,75.74,4451725.332
241,242,virudhunagar,tamil nadu,1942288,1.1091,1007,80.15,5470420.109
242,243,palamu,jharkhand,1939869,1.2617,928,63.63,19830489.45
243,244,raichur,karnataka,1928812,1.1551,1000,59.56,8156160.02
244,245,sonitpur,assam,1924110,1.1555,956,67.34,8164496.268
245,246,saharsa,bihar,1900661,1.2602,906,53.2,19199919.87
246,247,patiala,punjab,1895686,1.1962,891,75.28,11371149.87
247,248,haridwar,uttarakhand,1890422,1.3063,880,73.43,27351933.46
248,249,bagalkot,karnataka,1889752,1.144,989,68.82,7255461.772
249,250,farrukhabad,uttar pradesh,1885204,1.2005,874,69.04,11721413.76
250,251,krishnagiri,tamil nadu,1879809,1.2041,958,71.46,12043127.62
251,252,west nimar,madhya pradesh,1873046,1.2285,965,62.7,14665607.29
252,253,kanniyakumari,tamil nadu,1870374,1.116,1019,91.75,5604932.706
253,254,mainpuri,uttar pradesh,1868529,1.1702,881,75.99,8997063.389
254,255,sonbhadra,uttar pradesh,1862559,1.2727,918,64.03,20766843.01
255,256,dharwad,karnataka,1847023,1.1513,971,80.0,7557137.952
256,257,darjiling,west bengal,1846823,1.1477,970,79.56,7323338.202
257,258,jyotiba phule nagar,uttar pradesh,1840221,1.2276,910,63.84,14303383.4
258,259,parbhani,maharashtra,1836086,1.2019,947,73.34,11549850.72
259,260,jalor,rajasthan,1828730,1.2621,952,54.86,18753712.63
260,261,jajapur,orissa,1827192,1.1249,973,80.13,5928206.905
